label,source,cold_inlet_temp,cold_mass_flow,hot_inlet_temp,hot_mass_flow,Th_out_DWSim,Tc_out_DWSim,efficiency_DWSim,U_DWSim,Q_hot_DWSim_W,cold_dp_DWSim_Pa,hot_dp_DWSim_Pa,Th_out_PINN,Tc_out_PINN,efficiency_PINN,Q_hot_PINN_W,err_Th_K,err_Tc_K,abs_err_Th_K,abs_err_Tc_K,pct_err_Th,pct_err_Tc,abs_pct_err_Th,abs_pct_err_Tc,err_efficiency_ppt,err_Q_W
random_002,random,305.53509685803084,1.9052860836842374,347.4342843695078,0.5742480911251839,311.2786145056265,316.44195882304405,86.30159299011665,137.18026897191893,86911.08994964436,4.0736539293284295,95.70586638823443,311.422,315.97665,85.94984637668898,86566.42658084072,0.1433825646860214,-0.46530477030967177,0.1433825646860214,0.46530477030967177,0.04606245273667193,-0.1470426905585781,0.04606245273667193,0.1470426905585781,-0.35174661342766456,-344.66336880363815
random_003,random,303.68247647444906,3.398323665330094,366.5760766697604,3.292352436059928,331.5939047691131,337.68063840632254,55.70346129157724,395.6517243668979,482116.85233394516,21.177553586123395,2181.434242425792,331.81793,337.43097,55.26499426478268,479029.3549124901,0.22402735979312638,-0.2496691680412937,0.22402735979312638,0.2496691680412937,0.06756075928148175,-0.07393647714586263,0.06756075928148175,0.07393647714586263,-0.4384670267945623,-3087.4974214550457
random_004,random,296.84056166135645,5.268153391493517,364.7896376901342,3.774997508428564,322.74385562245993,327.04522538865126,61.938211213337254,487.502296541328,664413.3165750478,47.28486953722313,2823.7893367710785,323.3854,327.41327,60.93420781536173,654275.4401593135,0.6415508716806926,0.3680436543174892,0.6415508716806926,0.3680436543174892,0.19878019689743295,0.11253601206992597,0.19878019689743295,0.11253601206992597,-1.0040033979755236,-10137.876415734296
random_005,random,306.2137703089103,1.103685964027211,340.1171343882668,1.1599054599350576,321.9493201646164,325.32193022499007,56.33817532177062,134.3432421221479,88211.35577822778,2.163550388562726,341.1948881228891,321.68512,324.82254,54.36632989050088,89494.14561554273,-0.26420053571013113,-0.4993899417869443,0.26420053571013113,0.4993899417869443,-0.08206277173532851,-0.15350638717825452,0.08206277173532851,0.15350638717825452,-1.9718454312697418,1282.789837314951
random_006,random,316.8513444041154,4.54956814222367,337.8803298388637,0.8516903515829133,317.7852852798622,320.61527873478076,95.56115863345507,317.78145376671546,71642.36679730985,35.554550409142394,196.38773248098732,317.53598,320.18335,96.74432310289843,72531.18315003824,-0.24930505525281887,-0.4319291254057589,0.24930505525281887,0.4319291254057589,-0.07845078636453062,-0.13471882160770607,0.07845078636453062,0.13471882160770607,1.1831644694433692,888.8163527283905
random_007,random,289.71489996843394,1.3960733673963268,372.36949371266144,4.733478042623523,356.2589294483511,344.6646517992539,66.37862453753598,160.42599997798263,319220.1832066384,2.6779087498725858,4115.094202398919,356.40463,344.4251,19.315152880316504,316333.1721808453,0.1457031200082497,-0.23954193597262474,0.1457031200082497,0.23954193597262474,0.040898096290207686,-0.06950000086232902,0.040898096290207686,0.06950000086232902,-47.06347165721948,-2887.0110257930937
random_008,random,313.4943143448571,2.248119669765855,354.2250936617735,4.15517210296481,339.0639678225378,341.579607055056,68.90184729155206,330.82610120745795,263705.8067543564,10.060864954110002,3342.080958304621,339.0437,341.37503,37.272531349758204,264058.3157645652,-0.020266650662790653,-0.20457653747786253,0.020266650662790653,0.20457653747786253,-0.005977235149149787,-0.059891320574324794,0.005977235149149787,0.059891320574324794,-31.629315941793855,352.50901020877063
random_009,random,300.89795430804844,2.9841345271065203,371.6658275111784,4.453235694506715,341.7946716178286,345.66786740145164,63.15405542817214,390.64028025756573,556835.5240066014,16.71623093864764,3724.5386763611605,341.94305,345.91254,42.00037667748514,554069.4880099755,0.1483825813901376,0.24466921964210542,0.1483825813901376,0.24466921964210542,0.043412783671492934,0.07078159201819924,0.043412783671492934,0.07078159201819924,-21.153678750687,-2766.0359966258984
random_010,random,312.55748364791197,2.4427962455109924,369.4462010239976,5.339102422916911,350.79646433069007,353.4970926206836,71.87141522982708,374.3087656986311,416811.9683760791,11.392613727715798,5148.721671195439,351.10748,353.8784,32.23612512232597,409860.86400175566,0.31101857946617883,0.3812948304882866,0.31101857946617883,0.3812948304882866,0.08866069390396898,0.10786363974354694,0.08866069390396898,0.10786363974354694,-39.635290107501106,-6951.104374323448
random_011,random,309.8181599887627,4.127285978176319,350.8995582579663,1.904555695779198,318.70391115204797,324.69471859022565,78.39214114700492,380.9188860733995,256678.83527142182,30.148446396109648,831.7204952632455,318.56552,324.71088,78.70724556610561,257782.14471138327,-0.13838991181359006,0.01615787461810214,0.13838991181359006,0.01615787461810214,-0.04342272152021589,0.004976328130083895,0.04342272152021589,0.004976328130083895,0.31510441910069176,1103.3094399614492
random_012,random,302.38044284401775,3.5638473769144876,366.1106420296834,0.6814822804922378,305.10820205129033,314.0679825593676,95.72676489566521,261.5052175175919,174020.73488390894,24.30183658299211,128.69996347316192,304.51135,313.7284,96.65635801821871,175723.35843093065,-0.5968495122278341,-0.3395890046800787,0.5968495122278341,0.3395890046800787,-0.1956189667190594,-0.1081259547416257,0.1956189667190594,0.1081259547416257,0.9295931225534986,1702.623547021707
random_013,random,299.5770635388078,4.880281579010313,344.25350042338334,1.705034308700346,307.1568535199567,312.5435933521555,83.03899690656735,369.9088813017293,264768.9191940432,42.46703655504098,695.4194557669107,307.07773,312.47864,83.21113934834369,265333.65774234163,-0.07912524847233726,-0.06495565684298299,0.07912524847233726,0.06495565684298299,-0.025760534907679117,-0.020782911000128815,0.025760534907679117,0.020782911000128815,0.1721424417763444,564.7385482984246
random_014,random,311.39759410500096,4.431616018170246,339.76609868219776,3.4191708314563956,322.43670036031745,324.77872463882443,61.10764640703581,444.56977532678894,248029.59730345884,34.04144754591107,2424.5151341026794,322.566,324.9087,60.63093355488037,246178.84065419962,0.1293091611669297,0.12996676742557156,0.1293091611669297,0.12996676742557156,0.04010373540680355,0.040017020071158683,0.04010373540680355,0.040017020071158683,-0.4767128521554369,-1850.756649259216
random_015,random,295.2546516151383,5.475908174555307,360.1073167981152,5.057439019579076,325.84386662812716,326.97087185984105,52.8892379232098,520.1378817863238,725372.3069697325,50.79380192117242,4807.330014988256,326.3203,327.28226,52.098096821137155,715285.7383518026,0.4764458718728406,0.3113852202370708,0.4764458718728406,0.3113852202370708,0.1462190701341602,0.09523332108021806,0.1462190701341602,0.09523332108021806,-0.7911411020726433,-10086.568617929937
