cold_inlet_temp,cold_mass_flow,hot_inlet_temp,hot_mass_flow,thermal_efficiency,cold_pressure_drop,hot_pressure_drop,global_htc,cold_outlet_temp,hot_outlet_temp
288.15,0.5,333.15,0.5,63.95459162574008,1.2664208989299368,76.5427709693322,94.80819608680581,316.92670424713043,304.3611804433646
288.15,0.5,333.15,1.0,78.43686980389174,1.1847362432599766,265.06440795975504,104.46881617029814,323.44670978180125,315.49809394779066
288.15,0.5,333.15,1.5,83.59285793367371,1.1611528587091016,549.8104927450186,108.7262135280933,325.7675034213715,320.6101948813017
288.15,0.5,333.15,2.0,86.03220841815475,1.1478546582948184,923.2397934967885,111.28009330025608,326.8653773148135,323.47169329022387
288.15,0.5,333.15,2.5,87.520730501668,1.140298933678423,1380.9123408748274,112.99493046563968,327.5352724977171,325.27403440828994
288.15,0.5,333.15,3.0,88.503231670171,1.135220334646874,1919.3015322231076,114.24856005138547,327.97741976778525,326.5134891666244
288.15,0.5,333.15,3.5,89.20092862556206,1.1316777281899704,2535.793189510514,115.21118724009911,328.2913898482705,327.41710726712404
288.15,0.5,333.15,4.0,89.72212984936863,1.1290094051510096,3228.125447645769,115.9803299370696,328.52593023677326,328.1047564128526
288.15,0.5,333.15,4.5,90.1270925308844,1.1270257816358935,3994.5699207789585,116.6098246395978,328.7081603295208,328.6454274681577
288.15,0.5,333.15,5.0,90.45091448871375,1.125441714641056,4833.438463076338,117.13817569847703,328.8538758175831,329.0816442762815
288.15,0.5,338.15,0.5,64.11610719315539,1.2237547430268023,75.83330654134625,95.76182987831874,320.20914107767936,306.0845689327384
288.15,0.5,338.15,1.0,78.6467535411198,1.1380502924293978,262.39795491354016,105.5220981671095,327.4770912156998,318.48848341261936
288.15,0.5,338.15,1.5,83.77836660914792,1.1131918466708157,544.0917885578674,109.80452606303957,330.04300215475325,324.1899376420159
288.15,0.5,338.15,2.0,86.24008604298872,1.0995442169369198,913.4942395358958,112.36158614424629,331.2737151187202,327.37387512397953
288.15,0.5,338.15,2.5,87.72220514743792,1.091769906997797,1366.209156523997,114.07614355827684,332.0146191544458,329.3818996198631
288.15,0.5,338.15,3.0,88.69908916186866,1.086569640392554,1898.7554979783017,115.32781585352618,332.5029298131932,330.7625426027865
288.15,0.5,338.15,3.5,89.39192439455921,1.082943661036552,2508.543462055575,116.28818690815697,332.8492399987983,331.7689421605056
288.15,0.5,338.15,4.0,89.90905969975346,1.0802192349801771,3193.34014605399,117.05497046134735,333.10771960017405,332.5347020798997
288.15,0.5,338.15,4.5,90.31050235358268,1.0781876773398835,3951.427585303143,117.6823641314929,333.3083678775287,333.1367229958896
288.15,0.5,338.15,5.0,90.63131487340318,1.076566847099457,4781.142080192076,118.2087302198657,333.4687127784812,333.6223856328365
288.15,0.5,343.15,0.5,64.26784751491573,1.1830321091838414,75.16447069257265,96.68184650699699,323.5040367724317,307.7984522282787
288.15,0.5,343.15,1.0,78.84217575931328,1.094230322210933,259.9146173626068,106.51723132283395,331.521839224941,321.47404598935333
288.15,0.5,343.15,1.5,83.95652992355994,1.0683260638470529,538.7855781667895,110.81611324118606,334.3341095531206,327.76641361245186
288.15,0.5,343.15,2.0,86.43018159636668,1.0545384916913463,904.5026960395189,113.36896586506671,335.6940168144925,331.2746926910843
288.15,0.5,343.15,2.5,87.90484759955046,1.046486214894685,1352.622172909454,115.08313446607717,336.5046243126827,333.4890299431423
288.15,0.5,343.15,3.0,88.87606911826867,1.0412044607364805,1879.7904496490664,116.33085350858018,337.0384513843045,335.0111472746964
288.15,0.5,343.15,3.5,89.5641338843,1.0375232522928854,2483.4109841915633,117.2875456399882,337.41662178999087,336.1204980226441
288.15,0.5,343.15,4.0,90.077604367103,1.0348578536650166,3161.3755567992775,118.0486533449148,337.6988211219336,336.96445640942875
