epoch,loss,loss_data,loss_phys,loss_bc,val_mae_Th,val_mae_Tc,val_r2_Th,val_r2_Tc
0,8.667468275342669,1.6997504589103518,1928.508056640625,0.6967717784323862,11.061366081237793,8.56663703918457,0.034072359792535534,0.08957848050186712
50,0.012807507566841585,0.008086285093754884,1432.4122169131324,0.000472122242735211,0.5855598449707031,0.5419792532920837,0.9926724813597239,0.994673448223516
100,0.008504365720520062,0.005980365726697657,1720.60404750279,0.0002523999934228847,0.46453621983528137,0.38359880447387695,0.9945275358682596,0.9971521968069328
150,0.008168298401869833,0.005520524556881615,1815.0857863653273,0.00026477738434290847,0.49062153697013855,0.33417433500289917,0.9949270773260664,0.9978751745723474
200,0.005343300149044288,0.00451187658057149,2112.391842796689,8.314235379830712e-05,0.39693310856819153,0.23091408610343933,0.9960342993291599,0.9987290592139035
250,0.0042217031004838645,0.0033375764268428264,2326.376749674479,8.841266840352633e-05,0.3344027101993561,0.2513217628002167,0.9969659471321308,0.9988391124688396
300,0.005192442677937271,0.0026248162861780395,2539.843953450521,0.00025676264270995964,0.37710610032081604,0.25312066078186035,0.9970685491300619,0.9989128564817344
350,0.0024334532818535252,0.0018957100602121847,2656.586268833705,5.37743208908415e-05,0.44345778226852417,0.1790328174829483,0.9973831724209847,0.9994337375718665
400,0.003572074965285581,0.0015557475645826863,2946.629156203497,0.00020163273785285475,0.18540909886360168,0.1883128136396408,0.9986611541557141,0.9994744232203486
450,0.0016904715725797274,0.0013018699114798523,3019.865036737351,3.886016600604524e-05,0.33057352900505066,0.20393894612789154,0.9980610189868447,0.9993668949268131
500,0.0032595739439351575,0.0012132884619946015,2807.2845342726932,0.00020462854757040207,0.16343526542186737,0.22390396893024445,0.9988050133722883,0.999417536092329
550,0.0492588925574507,0.01212661447269576,2.7239196328889754,0.0009893081455846272,0.8912511467933655,1.3748857975006104,0.9922476957889215,0.9799500059596252
600,0.034431224156703265,0.011303048625233628,0.9057736027808416,0.0005012703887976906,1.3031944036483765,1.1942920684814453,0.9868311529977549,0.9850304431877368
650,0.03142978401765937,0.011067882036080673,0.5789467855578377,0.00029934987556078427,0.987813413143158,1.2738069295883179,0.9912100032072564,0.9822747091062135
700,0.022578183738958268,0.01090704986736888,0.2640270186322076,0.00011100534989271269,0.8723157644271851,1.2066816091537476,0.9923688388846331,0.9841833585228215
