epoch,train_loss,val_loss
1,0.09539267374165267,0.03616011144390085
2,0.05647891142476023,0.026346562792835364
3,0.0511423801371097,0.023271250706539386
4,0.04700952501849547,0.024817769630150435
5,0.045001924761548504,0.024075902339676707
6,0.0418407335880074,0.022963095621469292
7,0.04217439723476352,0.022730659615489052
8,0.0407319561909686,0.021997940278132934
9,0.039096971267256246,0.022445269687337704
10,0.03855608776045772,0.021327187686345492
11,0.03966440260277535,0.02111093401037704
12,0.036386483287913246,0.021352830400611617
13,0.03683084238409879,0.02156042461273134
14,0.036313131855237955,0.018772414992905672
15,0.03610078189238225,0.0192492040828335
16,0.03572809255522521,0.01926936543731222
17,0.03381066071819725,0.020897595978493413
18,0.036136989844301574,0.018151543910442988
19,0.03506665076430783,0.020362866998448935
20,0.03390942838109029,0.021107697392293234
21,0.031895814284086124,0.019374008160623783
22,0.03377270290999343,0.018025911882320597
23,0.034209729084741895,0.019444442821255903
24,0.03274896779882391,0.018215918322332318
25,0.03237996708260153,0.01759610000939704
26,0.03218839676645917,0.019886260324122513
27,0.03079008153497583,0.018727234855941383
28,0.032148217069550886,0.01791737305046057
29,0.0305464069561401,0.017715445759069415
30,0.03137493353849223,0.017175876471174585
31,0.030974821032625804,0.016475349035786097
32,0.03241896311772663,0.01967190908421586
33,0.03100117827173723,0.017285040937745758
34,0.030756193891222076,0.01784972663230381
35,0.031546070231392796,0.019399224309653112
36,0.03018660654435765,0.016991036963588942
37,0.030923193204123303,0.017317183303308645
38,0.029224180711786302,0.01698193007204806
39,0.02998617180219566,0.020783702794769425
40,0.02991906706660994,0.01863926454324831
41,0.028322044267067453,0.017992722138530162
42,0.028781520489712487,0.017714853259114618
43,0.028748625984519473,0.01669170649593617
44,0.02924637912417344,0.016004799369033967
45,0.02978366249954011,0.017390055794741767
46,0.02848381695519244,0.018843671097472012
47,0.02971971517037572,0.01955222393529187
48,0.02883131691266044,0.01781984394030409
49,0.029380444930850593,0.016221349352850415
50,0.028234531854158265,0.01573334301931821
51,0.02852330158257069,0.0174046735741812
52,0.02871730687481924,0.01640902736155785
53,0.028814794457695397,0.016934355758628363
54,0.027862147069026216,0.017184448597707964
55,0.02867382248128511,0.01672231872920735
56,0.027516233220870382,0.01717652894291023
57,0.027571691088441496,0.017936963807866142
58,0.027710376907836082,0.01653313219696615
59,0.026761591224696752,0.016720291195989053
60,0.027005610105762568,0.01657617767911844
61,0.02725932343428035,0.015950928425586437
62,0.02711224604564311,0.01545525878576566
63,0.027850845935700953,0.017376670003650847
64,0.02752687210658756,0.01593541545059142
65,0.02675512124403646,0.015588116588564653
66,0.026304954068923945,0.01682624820959993
67,0.02775140930885625,0.016884157106794733
68,0.027031025051895356,0.016954820844156043
69,0.026772153017019924,0.016297879830450814
70,0.02579370080717031,0.01628562717683995
71,0.027892822122736898,0.015412311378932808
72,0.02689593465329757,0.016688953607627306
73,0.026712430332190933,0.01646599482396464
74,0.025944207403365702,0.01673336982901285
75,0.026440287385460188,0.015456568051901187
76,0.026298379812166886,0.017292712822573088
77,0.026049710094535734,0.017082283560410638
78,0.02598740437364213,0.015137531382046258
79,0.026198221025200946,0.017077679262145987
80,0.025218239863835736,0.016423787684791736
81,0.026055731026021423,0.016957575557774187
82,0.025195304899020308,0.015284484830624808
83,0.025417092754397283,0.01683411406962935
84,0.025961810415078748,0.01605787556162125
85,0.026038549702531895,0.01639529681476227
86,0.025558051032905517,0.015376332196467172
87,0.025619973518916293,0.01635749947429035
88,0.025205662575773852,0.016428024938251233
89,0.024564474396879615,0.016298048059665546
90,0.02497842494814268,0.015875241712963662
91,0.02488024115687246,0.016393119385901565
92,0.02466001476175372,0.014645987838083558
93,0.02510131074936008,0.015803950423901623
94,0.025121366196386448,0.014980238138019773
95,0.024462704434141135,0.015364676840263181
96,0.024949146368443982,0.015689361081323804
97,0.024541759957930922,0.017004853878211736
98,0.02500763816165991,0.015426493851770803
99,0.024280831579407417,0.015385141865016357
100,0.025339083529488986,0.016391197067658462
101,0.025042041241963322,0.015707336008996767
102,0.023989503528213454,0.016801401219830613
103,0.02379437760753416,0.01629254131646358
104,0.024399865907942624,0.01555338163501303
105,0.02438818890235274,0.0180950238164058
106,0.023532615502369996,0.017382539451985157
107,0.024968546896457278,0.014515886883477458
108,0.02391710110652004,0.015548947247321861
109,0.024049298003797893,0.01581875787952496
110,0.024647203046115847,0.01621011898921334
111,0.02375726633429113,0.016254152511070194
112,0.024271966021992268,0.014930258841484054
113,0.024128461136131388,0.015300581634111021
114,0.023934978559071514,0.015738487393410674
115,0.0238065884308263,0.015282704991460642
116,0.023533653059532342,0.015333412570219264
117,0.023866099912640375,0.015528754307732881
118,0.024488906866246704,0.016286645041061004
119,0.02368427922325658,0.015393442551881274
120,0.023649704584588472,0.016798691789231747
121,0.023343507949155642,0.017412990588852453
122,0.023324172200797227,0.016411076602681575
123,0.023080398354576113,0.015321589421007973
124,0.022604550969127474,0.01642396861815904
125,0.02368954306077184,0.01622179627858252
126,0.023565314835611112,0.01775838569188304
